"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI TIC Scan Frag=125.0V WorklistData-0005.d "
"No integration results available"
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI TIC Scan Frag=125.0V WorklistData-0005.d "
"No integration results available"
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI BPC Scan Frag=125.0V WorklistData-0005.d "
"No integration results available"
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI EIC(319.8662) Scan Frag=125.0V WorklistData-0005.d "
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"2" ,14.425,14.455,14.541,815,2209,5.66,8.21,2.73,0.116,,0,0,0,0,,815,,,BB,339.5537,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"3" ,17.841,17.927,18.055,834,3399,8.71,8.41,4.21,0.215,,0,0,0,0,,834,,,BB,730.3372,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"4" ,18.319,18.408,18.616,7883,39039,100.00,79.45,48.30,0.297,,0,0,0,0,,7883,,,BB,668.3591,,,,,,,,,,,,

"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI EIC(541.2727) Scan Frag=125.0V WorklistData-0005.d "
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"1" ,8.419,8.515,8.733,326806,1313624,100.00,100.00,96.88,0.313,,0,340,0,0,,326806,,,BV,361.1799,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"2" ,9.987,10.059,10.168,2845,9753,0.74,0.87,0.72,0.181,,0,0,0,0,,2845,,,BB,362.2392,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"3" ,17.824,17.927,18.055,4647,24738,1.88,1.42,1.82,0.231,,0,94,0,0,,4647,,,BV,730.3372,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"4" ,47.474,47.566,47.672,1275,4336,0.33,0.39,0.32,0.198,,0,0,0,0,,1275,,,BB,1061.5010,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"5" ,54.404,54.486,54.569,1604,3509,0.27,0.49,0.26,0.165,,95,55,55,55,,1659,,,VB,359.3150,,,,,,,,,,,,

"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI EIC(549.8371) Scan Frag=125.0V WorklistData-0005.d "
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"1" ,18.435,18.573,18.732,7077,37721,38.21,38.68,20.68,0.297,,0,124,0,0,,7077,,,BV,366.8895,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"2" ,18.880,18.999,19.194,18297,98725,100.00,100.00,54.12,0.313,,0,0,0,0,,18297,,,BB,366.8895,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"3" ,22.626,22.721,22.923,4619,25561,25.89,25.24,14.01,0.297,,0,0,0,0,,4619,,,BB,465.6015,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"4" ,23.385,23.570,23.731,2757,17376,17.60,15.07,9.53,0.346,,0,0,0,0,,2757,,,BB,465.6015,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"5" ,33.647,33.740,33.911,1092,3040,3.08,5.97,1.67,0.264,,0,0,0,0,,1092,,,BB,765.3686,,,,,,,,,,,,

"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI EIC(582.2754) Scan Frag=125.0V WorklistData-0005.d "
